"lsoa11cd","CAUTH18NM","lsoa11nm","Index.of.Multiple.Deprivation..IMD..Score","Index.of.Multiple.Deprivation..IMD..Rank..where.1.is.most.deprived.","Index.of.Multiple.Deprivation..IMD..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Score..rate.","Income.Rank..where.1.is.most.deprived.","Income.Decile..where.1.is.most.deprived.10..of.LSOAs.","Employment.Score..rate.","Employment.Rank..where.1.is.most.deprived.","Employment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Education..Skills.and.Training.Score","Education..Skills.and.Training.Rank..where.1.is.most.deprived.","Education..Skills.and.Training.Decile..where.1.is.most.deprived.10..of.LSOAs.","Health.Deprivation.and.Disability.Score","Health.Deprivation.and.Disability.Rank..where.1.is.most.deprived.","Health.Deprivation.and.Disability.Decile..where.1.is.most.deprived.10..of.LSOAs.","Crime.Score","Crime.Rank..where.1.is.most.deprived.","Crime.Decile..where.1.is.most.deprived.10..of.LSOAs.","Barriers.to.Housing.and.Services.Score","Barriers.to.Housing.and.Services.Rank..where.1.is.most.deprived.","Barriers.to.Housing.and.Services.Decile..where.1.is.most.deprived.10..of.LSOAs.","Living.Environment.Score","Living.Environment.Rank..where.1.is.most.deprived.","Living.Environment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Children.Index..IDACI..Score..rate.","Income.Deprivation.Affecting.Children.Index..IDACI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Children.Index..IDACI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Older.People..IDAOPI..Score..rate.","Income.Deprivation.Affecting.Older.People..IDAOPI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Older.People..IDAOPI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Children.and.Young.People.Sub.domain.Score","Children.and.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Children.and.Young.People.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Adult.Skills.Sub.domain.Score","Adult.Skills.Sub.domain.Rank..where.1.is.most.deprived.","Adult.Skills.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Indoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Total.population..mid.2012..excluding.prisoners.","Dependent.Children.aged.0.15..mid.2012..excluding.prisoners.","Population.aged.16.59..mid.2012..excluding.prisoners.","Older.population.aged.60.and.over..mid.2012..excluding.prisoners.","Working.age.population.18.59.64..for.use.with.Employment.Deprivation.Domain..excluding.prisoners."
"E01004766","Greater Manchester","Bolton 005A",29.998,8241,3,0.171,10553,4,0.135,10676,4,26.76,10008,4,0.893,5259,2,0.769,5587,2,16.345,21341,7,47.008,2887,1,0.123,18694,6,0.283,6697,3,0.477,9077,3,0.348,10937,4,-0.084,17244,6,0.151,14694,5,1.341,1997,1,0.184,13170,5,1590,260,927,403,918
"E01004767","Greater Manchester","Bolton 005B",21.42,13147,5,0.129,14580,5,0.106,14734,5,15.133,17360,6,0.452,9955,4,0.79,5347,2,17.588,19817,7,30.832,8287,3,0.167,14836,5,0.186,13049,4,-0.581,24976,8,0.345,11260,4,0.038,15151,5,0.099,14968,5,0.799,5923,2,0.008,15936,5,1724,286,1049,389,1059.75
"E01004768","Greater Manchester","Bolton 001A",5.837,29371,9,0.033,31191,10,0.048,28282,9,3.296,29439,9,-0.261,20030,7,-0.313,21247,7,23.205,12954,4,2.959,31331,10,0.025,31883,10,0.061,29201,9,-1.033,29586,10,0.198,27266,9,0.857,4427,2,-3.102,29879,10,-1.438,31264,10,-0.573,24503,8,1579,304,901,374,904.25
"E01004769","Greater Manchester","Bolton 003A",8.667,25890,8,0.046,28812,9,0.067,23122,8,4.299,28193,9,0.04,15538,5,0.103,14956,5,16.483,21164,7,11.865,21547,7,0.037,30395,10,0.065,28651,9,-0.914,28574,9,0.213,25839,8,0.28,11079,4,-1.296,22517,7,-0.287,20645,7,-0.071,17218,6,1491,244,849,398,869.5
"E01004770","Greater Manchester","Bolton 003B",8.189,26504,9,0.061,25420,8,0.068,23071,8,11.289,20680,7,-0.254,19932,7,-0.477,23573,8,7.467,30842,10,16.108,17578,6,0.044,29405,9,0.091,24058,8,-0.745,26929,9,0.311,14734,5,-0.275,20584,7,-2.232,27096,9,-0.059,17353,6,0.143,13822,5,1486,293,729,464,751.75
"E01004771","Greater Manchester","Bolton 003C",5.415,29855,10,0.03,31589,10,0.053,26993,9,3.705,28936,9,-0.391,21799,7,0.096,15064,5,4.161,32368,10,12.085,21329,7,0.028,31551,10,0.033,32259,10,-0.951,28915,9,0.202,26910,9,-0.782,27726,9,-2.2,26957,9,-0.232,19898,7,-0.121,18003,6,1640,333,871,436,884.25
"E01004772","Greater Manchester","Bolton 005C",30.374,8058,3,0.228,6624,3,0.183,6137,2,29.049,8966,3,0.788,6223,2,-0.076,17713,6,29.851,6888,3,7.79,26080,8,0.262,8638,3,0.325,4838,2,0.541,8256,3,0.361,9766,3,0.465,8398,3,1.403,8926,3,-0.501,23548,8,-0.44,22768,7,1761,444,1047,270,1034.25
"E01004773","Greater Manchester","Bolton 003D",9.965,24274,8,0.078,22001,7,0.057,25910,8,11.058,20865,7,-0.225,19488,6,-0.142,18737,6,13.917,24402,8,22.321,13070,4,0.081,23743,8,0.147,16703,6,-0.588,25074,8,0.298,16167,5,-0.891,28823,9,0.937,10855,4,0.327,11683,4,0.18,13230,5,2039,387,1334,318,1341.75
"E01004774","Greater Manchester","Bolton 005D",29.379,8519,3,0.206,7926,3,0.162,7903,3,26.978,9900,4,0.58,8473,3,0.535,8545,3,13.583,24796,8,39.587,4842,2,0.297,6820,3,0.27,7315,3,0.299,11584,4,0.378,8396,3,-0.417,22954,7,0.267,14104,5,1.054,3734,2,0.283,11731,4,1688,330,1058,300,1033.75
"E01004775","Greater Manchester","Bolton 014A",12.544,21157,7,0.07,23593,8,0.06,25087,8,9.451,22406,7,0.244,12640,4,-0.671,26050,8,31.465,5864,2,16.606,17165,6,0.068,25684,8,0.106,21767,7,-0.369,21993,7,0.254,21279,7,1.188,2509,1,-1.573,23996,8,0.179,13852,5,-0.268,20277,7,1541,243,770,528,804.5
