"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01004766","Greater Manchester","Bolton 005A",511819.2418355,4975.9624491626,7694,3,30.687,7694,3,0.18,8010,3,0.126,8988,3,19.378,14159,5,0.53,8733,3,0.963,3820,2,9.73,28862,9,50.881,1765,1,0.15,14006,5,0.245,7186,3,-0.094,17634,6,0.348,10937,4,-0.385,22303,7,-0.96,20469,7,1.317,1804,1,0.42,9257,3,1616,270,938,408,945.75
"E01004767","Greater Manchester","Bolton 005B",521514.5251015,4780.47184118095,10776,4,24.997,10776,4,0.134,12065,4,0.096,13241,5,16.536,16170,5,0.41,10193,4,0.963,3825,2,10.982,27657,9,44.554,3005,1,0.153,13829,5,0.168,12504,4,-0.374,22058,7,0.345,11260,4,-0.299,20880,7,-0.801,19566,6,1.072,3324,2,0.604,7398,3,1777,299,1082,396,1085.75
"E01004768","Greater Manchester","Bolton 001A",3911427.7810055,10544.5576426891,28288,9,7.028,28288,9,0.036,29569,10,0.044,26582,9,3.044,29676,10,-0.341,21312,7,0.119,14833,5,23.012,13193,5,4.495,29836,10,0.029,30847,10,0.056,28063,9,-1.122,30250,10,0.198,27266,9,0.867,4354,2,-3.619,30862,10,-1.113,29813,10,-0.397,21982,7,1546,274,882,390,891
"E01004769","Greater Manchester","Bolton 003A",405640.9297415,3871.76188553263,24505,8,10.019,24505,8,0.043,27789,9,0.071,18591,6,5.358,26889,9,-0.027,16417,5,0.318,11673,4,11.821,26753,9,13.15,20912,7,0.023,31634,10,0.053,28551,9,-0.658,26022,8,0.213,25839,8,0.04,14989,5,-1.875,25261,8,-0.116,18292,6,-0.191,18483,6,1459,224,827,408,834.75
"E01004770","Greater Manchester","Bolton 003B",441207.7204175,4613.23625678118,22815,7,11.437,22815,7,0.059,23948,8,0.078,16825,6,9.81,22029,7,0.068,14980,5,-0.319,21304,7,7.459,30700,10,21.539,14160,5,0.038,29417,9,0.087,22059,7,-1.196,30683,10,0.311,14734,5,-0.141,18187,6,-3.511,30661,10,0.363,11024,4,-0.072,16489,6,1436,282,705,449,712.75
"E01004771","Greater Manchester","Bolton 003C",450156.0940485,3906.04725123763,29639,10,5.833,29639,10,0.034,30003,10,0.034,29530,9,3.39,29270,9,-0.342,21318,7,0.272,12362,4,2.613,32663,10,14.69,19490,6,0.033,30264,10,0.038,30956,10,-1.047,29728,10,0.202,26910,9,-0.88,28769,9,-3.123,29784,10,0.024,16083,5,-0.249,19458,6,1720,359,918,443,919.75
"E01004772","Greater Manchester","Bolton 005C",325417.3905425,3525.94381322761,6242,2,34.074,6242,2,0.233,4834,2,0.177,4513,2,30.435,8389,3,0.866,5319,2,0.388,10632,4,25.82,10343,4,6.097,28233,9,0.254,6711,3,0.267,6067,2,0.63,7270,3,0.361,9766,3,0.546,7417,3,0.131,14514,5,-0.62,25422,8,-0.569,24457,8,1762,438,1036,288,1007
"E01004773","Greater Manchester","Bolton 003D",271453.1949655,3868.68697816334,20211,7,13.745,20211,7,0.098,16675,6,0.049,25029,8,13.112,18937,6,-0.33,21115,7,0.131,14635,5,9.369,29192,9,38.399,4840,2,0.136,15403,5,0.12,17403,6,-0.296,20902,7,0.298,16167,5,-0.868,28658,9,-0.234,16424,6,1.043,3544,2,0.008,15160,5,2307,418,1514,375,1488.75
"E01004774","Greater Manchester","Bolton 005D",311820.2493145,3712.56799507272,7377,3,31.354,7377,3,0.2,6702,3,0.142,7326,3,28.067,9373,3,0.665,7234,3,0.65,7081,3,9.53,29042,9,39.106,4584,2,0.259,6394,2,0.222,8532,3,0.369,10499,4,0.378,8396,3,-0.346,21658,7,-1.136,21458,7,0.982,3994,2,0.279,11041,4,1750,355,1079,316,1076.75
"E01004775","Greater Manchester","Bolton 014A",7434734.942977,17621.2531073795,21251,7,12.812,21251,7,0.05,26222,8,0.055,22937,7,8.32,23617,8,0.138,13916,5,-0.219,19890,7,31.222,6145,2,20.834,14671,5,0.072,23554,8,0.059,27329,9,-0.529,24311,8,0.254,21279,7,1.31,2036,1,-2.944,29304,9,0.383,10772,4,-0.218,18961,6,1750,294,906,550,939.5
"E01004776","Greater Manchester","Bolton 031A",5364918.3432745,13015.1320060678,12402,4,22.479,12402,4,0.129,12631,4,0.113,10571,4,19.994,13766,5,0.649,7399,3,-0.449,23096,8,14.67,23440,8,34.137,6616,3,0.106,18721,6,0.232,7978,3,-0.009,16241,5,0.345,11244,4,0.09,14105,5,-1.018,20843,7,0.998,3883,2,-0.44,22644,7,1797,348,1112,337,1125
"E01004777","Greater Manchester","Bolton 004A",345954.4107995,4588.21660525313,7187,3,31.728,7187,3,0.185,7693,3,0.14,7531,3,24.825,10932,4,1.27,2508,1,0.601,7740,3,6.264,31393,10,32.363,7545,3,0.251,6824,3,0.239,7574,3,0.567,8022,3,0.312,14699,5,-1.18,30935,10,-0.885,20046,7,0.763,6074,2,0.184,12358,4,1582,279,951,352,943
"E01004778","Greater Manchester","Bolton 009A",437450.79492,3570.20255238547,25859,8,8.945,25859,8,0.06,23695,8,0.048,25249,8,13.914,18241,6,0.282,11870,4,-0.59,24973,8,1.932,32764,10,7.934,26249,8,0.038,29459,9,0.091,21493,7,-0.166,18854,6,0.293,16694,6,-1.32,31549,10,-2.796,28838,9,-0.413,22718,7,-0.537,23998,8,1194,178,573,443,583
"E01004779","Greater Manchester","Bolton 007A",295128.7927035,2951.23583378081,14679,5,19.636,14679,5,0.131,12410,4,0.119,9832,3,13.91,18245,6,0.517,8904,3,0.06,15736,5,13.282,25075,8,11.159,22819,7,0.149,14173,5,0.173,12018,4,-0.164,18815,6,0.293,16734,6,0.119,13613,5,-1.702,24413,8,-0.469,23496,8,0.044,14585,5,1571,361,942,268,926
"E01004780","Greater Manchester","Bolton 009B",6228241.5255235,22362.7776880096,25234,8,9.426,25234,8,0.058,24252,8,0.056,22637,7,5.752,26439,9,-0.366,21673,7,-0.237,20157,7,21.931,14405,5,16.819,17736,6,0.06,25685,8,0.085,22460,7,-0.62,25518,8,0.217,25447,8,0.758,5274,2,-2.667,28403,9,0.257,12478,4,-0.552,24226,8,2125,391,1261,473,1262.5
"E01004781","Greater Manchester","Bolton 007B",2739930.5736535,8253.29991513831,21281,7,12.787,21281,7,0.081,19344,6,0.078,16798,6,7.376,24616,8,0.052,15195,5,0.039,16080,5,12.155,26395,9,18.933,16091,5,0.1,19391,6,0.114,18103,6,-0.665,26110,8,0.251,21537,7,0.08,14270,5,-1.98,25745,8,0.381,10794,4,-0.56,24322,8,1954,398,1223,333,1241.25
"E01004782","Greater Manchester","Bolton 009C",609070.1701445,5103.19175974179,10788,4,24.964,10788,4,0.153,10239,4,0.137,7806,3,28.121,9346,3,0.616,7744,3,0.174,13928,5,8.322,30080,10,21.005,14561,5,0.184,11245,4,0.159,13221,5,0.432,9649,3,0.369,9095,3,-0.988,29707,10,-0.408,17389,6,0.476,9531,3,-0.505,23554,8,1155,231,588,336,588.25
"E01004783","Greater Manchester","Bolton 009D",1549041.8867625,7117.00541298764,19530,6,14.407,19530,6,0.082,19235,6,0.085,15172,5,9.078,22778,7,0.119,14207,5,-0.086,17929,6,19.652,17055,6,18.436,16481,6,0.091,20635,7,0.078,23735,8,-0.453,23238,8,0.258,20814,7,0.648,6331,2,-2.912,29226,9,0.305,11811,4,-0.384,21774,7,1460,209,797,454,807.75
"E01004784","Greater Manchester","Bolton 006A",239879.7412415,3426.23513851978,26540,9,8.416,26540,9,0.037,29421,9,0.066,19798,7,5.72,26475,9,0.12,14191,5,-0.314,21237,7,15.425,22450,7,6.422,27879,9,0.015,32286,10,0.042,30431,10,-0.586,25064,8,0.212,25981,8,0.455,8574,3,-4.19,31729,10,-0.874,27995,9,-0.239,19301,6,1215,194,595,426,620.25
"E01004785","Greater Manchester","Bolton 006B",579981.141146,6838.1237759761,10688,4,25.123,10688,4,0.151,10451,4,0.132,8266,3,18.847,14518,5,0.522,8850,3,1.034,3273,1,12.109,26450,9,11.409,22563,7,0.244,7221,3,0.1,20027,7,0.32,11141,4,0.281,18154,6,-0.012,15888,5,-1.473,23245,8,-0.334,21642,7,-0.081,16646,6,1552,332,760,460,773.25
"E01004786","Greater Manchester","Bolton 006C",876076.300772,5875.18617702026,20437,7,13.546,20437,7,0.074,20737,7,0.066,19945,7,10.767,21110,7,0.46,9595,3,0.429,10049,4,12.589,25905,8,9.586,24489,8,0.085,21599,7,0.106,19184,6,-0.355,21779,7,0.273,19118,6,0.158,12950,4,-2.35,27262,9,-0.421,22823,7,-0.226,19085,6,1415,214,712,489,716.25
"E01004787","Greater Manchester","Bolton 013A",299844.027594,2541.04707286056,401,1,67.018,401,1,0.435,187,1,0.322,276,1,53.205,2694,1,1.759,741,1,1.225,2110,1,21.323,15104,5,19.585,15611,5,0.509,277,1,0.479,797,1,1.115,2937,1,0.48,2790,1,-0.063,16779,6,1.219,9645,3,0.247,12642,4,-0.063,16330,5,1610,407,961,242,962.5
"E01004788","Greater Manchester","Bolton 002A",748395.253302,5332.55103082261,29064,9,6.331,29064,9,0.036,29507,9,0.052,24027,8,2.793,29990,10,-0.058,16917,6,-0.179,19330,6,12.828,25611,8,5.146,29164,9,0.03,30645,10,0.037,31138,10,-0.954,29004,9,0.177,29075,9,0.293,10861,4,-4.176,31711,10,-1.073,29554,9,-0.31,20516,7,1366,195,631,540,640
"E01004789","Greater Manchester","Bolton 006D",5671251.890248,15992.8409563903,26544,9,8.413,26544,9,0.036,29492,9,0.046,26019,8,4.329,28131,9,-0.136,18159,6,0.072,15542,5,21.877,14467,5,14.766,19426,6,0.034,30144,10,0.04,30660,10,-0.67,26160,8,0.188,28148,9,0.832,4630,2,-4.693,32224,10,0.148,14161,5,-0.592,24789,8,1390,202,695,493,716.75
"E01004790","Greater Manchester","Bolton 002B",533742.9757075,4921.18835223198,18283,6,15.653,18283,6,0.074,20725,7,0.082,15931,5,7.567,24410,8,0.266,12106,4,0.644,7154,3,15.438,22435,7,21.219,14387,5,0.082,21938,7,0.076,23953,8,-0.232,19923,7,0.193,27744,9,0.329,10348,4,-2.127,26406,9,0.355,11138,4,-0.093,16864,6,1360,232,679,449,693.25
"E01004791","Greater Manchester","Bolton 006E",403513.871024,4230.22438288519,25063,8,9.547,25063,8,0.068,22039,7,0.056,22845,7,4.666,27708,9,0.207,12968,4,-0.35,21750,7,6.331,31349,10,17.459,17243,6,0.074,23285,8,0.108,18828,6,-0.843,28025,9,0.217,25505,8,-0.441,23140,8,-2.193,26660,9,0.204,13248,5,-0.268,19770,7,1180,165,573,442,589.5
"E01004792","Greater Manchester","Bolton 006F",634574.772023,4037.47946474776,29903,10,5.601,29903,10,0.027,31293,10,0.044,26790,9,4.288,28183,9,0.074,14885,5,-0.996,29060,9,15.782,21968,7,6.237,28075,9,0.016,32244,10,0.028,32127,10,-0.727,26848,9,0.196,27528,9,0.487,8154,3,-4.742,32270,10,-0.847,27749,9,-0.287,20138,7,1427,186,667,574,681
