"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01004766","Greater Manchester","Bolton 005A",29.5,2,3,8503,"B","North West",29.5,8414,0.18,9850,0.14,7550,0.97,4428,21.58,12421,7.9,29549,0.51,8927,44.36,3817,38.92,5633,55.22,2558,3.44,27915,12.37,18797,18.25,14459,24.92,10713,0.18,14248,0.29,7273
"E01004767","Greater Manchester","Bolton 005B",21.64,2,4,12913,"B","North West",21.64,12782,0.12,14850,0.1,11768,0.71,6837,13.42,18468,9.69,27999,0.41,10269,35.84,6300,32.44,7605,42.62,4734,6.42,24467,12.97,18303,11.26,19744,15.57,16295,0.12,19049,0.2,13393
"E01004768","Greater Manchester","Bolton 001A",12.63,4,7,21012,"B","North West",12.63,20810,0.02,31818,0.04,28823,-0.26,19737,2.85,29614,30.06,7117,1.54,856,0.93,32308,0.97,31123,0.85,31283,55.45,2529,4.67,26438,2.14,29556,3.57,27756,0.02,31590,0.06,30263
"E01004769","Greater Manchester","Bolton 003A",7.9,5,9,26989,"B","North West",7.9,26715,0.04,28835,0.05,24976,0.34,11115,5.54,26469,15.41,21869,-0.81,27043,11.16,21620,11.32,19692,10.85,20106,20.82,12885,10,20883,3.35,28022,7.74,23081,0.03,30450,0.1,24080
"E01004770","Greater Manchester","Bolton 003B",9.61,4,8,24786,"B","North West",9.61,24537,0.08,21405,0.06,22154,0.2,13037,12.71,19073,6.81,30357,-0.58,24479,6.67,26873,6.11,24810,7.79,23031,9.17,21664,4.45,26694,9.97,20906,15.44,16391,0.06,25641,0.12,21585
"E01004771","Greater Manchester","Bolton 003C",4.75,5,10,30629,"B","North West",4.75,30309,0.03,31222,0.05,26030,-0.01,16032,3.78,28532,5.4,31206,-0.59,24653,4.42,29508,2.73,28796,7.78,23035,7.68,23138,3.12,28307,2.65,28908,4.91,26162,0,32330,0.05,31209
"E01004772","Greater Manchester","Bolton 005C",34.75,1,2,6371,"B","North West",34.75,6308,0.25,6010,0.18,3861,1.07,3634,20.33,13184,24.44,11954,-0.18,18898,34.87,6645,49.79,3352,5.02,26032,37.51,6018,11.37,19646,23.92,11207,16.73,15473,0.3,8167,0.36,4385
"E01004773","Greater Manchester","Bolton 003D",15.1,3,6,18363,"B","North West",15.1,18171,0.11,16659,0.08,17224,0.51,9066,10.02,21556,6.09,30827,-0.18,18921,23.29,11798,22.46,11970,24.94,10700,4.06,27154,8.12,22695,4.77,26317,15.26,16523,0.1,20556,0.19,14733
"E01004774","Greater Manchester","Bolton 005D",30.18,2,3,8197,"B","North West",30.18,8120,0.22,7390,0.13,8180,0.84,5587,24.07,11019,10.84,26896,0.5,9053,42.79,4230,45.11,4205,38.16,5839,8.59,22226,13.09,18199,19.29,13799,28.86,8960,0.31,7976,0.3,7130
"E01004775","Greater Manchester","Bolton 014A",13,4,7,20606,"B","North West",13,20407,0.06,24951,0.07,19117,0.15,13853,8.58,23016,31.88,5918,-0.83,27278,16.54,16518,14.8,16867,20.01,13361,56.84,2355,6.92,23935,11.65,19406,5.51,25470,0.05,27750,0.12,21633
"E01004776","Greater Manchester","Bolton 031A",25.97,2,4,10262,"B","North West",25.97,10158,0.15,12482,0.11,11569,0.85,5498,23.4,11397,23.1,13265,0.6,7839,27.78,9482,39.52,5477,4.29,26881,34.65,6869,11.55,19492,25.52,10423,21.28,12624,0.16,15248,0.33,5844
"E01004777","Greater Manchester","Bolton 004A",28.7,2,3,8892,"B","North West",28.7,8794,0.2,8390,0.14,7701,1.27,2396,25.23,10429,6.3,30701,-0.52,23760,30.05,8491,25.26,10549,39.62,5452,1.13,30907,11.48,19556,26.46,9992,24.01,11160,0.25,10528,0.31,6590
"E01004778","Greater Manchester","Bolton 009A",10.15,4,8,24060,"B","North West",10.15,23824,0.07,23474,0.07,18938,0.32,11415,12.33,19424,7.54,29813,-1.76,32071,10.57,22258,12.04,19075,7.65,23175,11.61,19439,3.46,27887,9.35,21486,15.3,16493,0.06,26583,0.1,24188
"E01004779","Greater Manchester","Bolton 007A",17.57,3,5,16130,"B","North West",17.57,15955,0.13,13822,0.09,14285,0.67,7258,18.11,14680,11.85,25877,-0.48,23175,12.02,20706,6.29,24609,23.48,11430,14.49,17100,9.2,21633,18.45,14330,17.78,14767,0.19,13445,0.28,8168
"E01004780","Greater Manchester","Bolton 009B",9.91,4,8,24395,"B","North West",9.91,24157,0.05,26386,0.07,19345,0.06,15120,5.07,27015,15.59,21653,-0.19,19072,15.83,17121,15.27,16516,16.96,15319,26.07,10170,5.12,25919,3.05,28393,7.1,23748,0.02,31464,0.13,20169
"E01004781","Greater Manchester","Bolton 007B",13.96,3,6,19482,"B","North West",13.96,19275,0.07,21942,0.08,15742,0.44,9935,15.26,16893,14.18,23233,-1.03,28882,19.6,14129,20.01,13362,18.77,14124,23.05,11656,5.32,25686,14.87,16815,15.66,16235,0.08,23127,0.16,17205
"E01004782","Greater Manchester","Bolton 009C",29.19,2,3,8650,"B","North West",29.19,8558,0.17,10687,0.12,9525,1.21,2720,33,7287,11.49,26246,-0.02,16656,39.01,5312,50.43,3248,16.17,15869,10.2,20698,12.79,18448,27.98,9326,38.02,5876,0.19,13876,0.31,6720
"E01004783","Greater Manchester","Bolton 009D",11.6,4,7,22236,"B","North West",11.6,22014,0.06,25783,0.08,17260,0.2,13131,12.52,19237,16.28,20868,-1.4,31060,20.41,13575,20.58,13026,20.07,13325,25.21,10573,7.34,23489,11.6,19450,13.44,17923,0.07,24742,0.09,26144
"E01004784","Greater Manchester","Bolton 006A",6.1,5,9,29201,"B","North West",6.1,28885,0.04,29126,0.05,24041,-0.13,17913,5.86,26104,18.4,18282,-1.24,30285,3.95,30044,1.21,30795,9.42,21423,31.2,8051,5.61,25364,6.5,24384,5.22,25802,0.04,28945,0.06,30421
"E01004785","Greater Manchester","Bolton 006B",22.34,2,4,12451,"B","North West",22.34,12320,0.09,19588,0.1,11812,0.75,6403,29.75,8435,20.46,15985,0.54,8522,16.51,16543,16.95,15321,15.63,16255,29.23,8808,11.68,19376,40.14,5321,19.36,13759,0.12,19072,0.13,20903
"E01004786","Greater Manchester","Bolton 006C",12.04,4,7,21704,"B","North West",12.04,21491,0.07,23581,0.08,15889,0.33,11267,10.26,21330,11.76,25975,-0.42,22371,12.77,19987,5.36,25645,27.59,9490,18.02,14607,5.5,25487,8.61,22205,11.9,19188,0.09,22308,0.08,27904
